214,オコタ・デ・チャット,2,10,all,ポンコツ,ポン,2015,12,30
215,ガムシャラソウジュ,1,1,all,純情リーマー(ドリル乳繰り),竜一,2015,12,30
216,カリワザ,1,1,all,VENTOPLUS,ヴェント,2015,12,30
217,カンムス・ア・ゴーゴー　2015冬,2,1,all,ポンコツ,ポン,2015,12,30
218,君の足音,2,1,all,みの森,ミノリ,2015,12,30
219,キミの笑顔,1,1,all,あるたな,薙派(ちぱ),2015,12,30
220,清霜のあこがれ,2,1,all,カシワギ,Hi-UNI,2015,12,30
221,航空戦艦フェアリーテイル,2,1,all,LETRA,滝太郎,2015,12,30
222,こちら秘封探偵事務所　illustratedbook vol.1 the Embodiment of Scarlet Devil,1,11,all,たんこぶ,EO,2015,12,30
223,この2人のここがスキ本,8,4,all,20twenty,match,2015,12,30
224,鷺の声響く,1,3,r18,てつのおとしご,チロリアン,2015,12,30
225,さよならアマノジャク,1,1,all,こもりきり。,卯林,2015,12,30
226,潮騒,2,3,r18,さくらがーでん,しろすず,2015,12,30
227,シロガネエッヂ,1,1,all,薬味さらい,ゾウノセ,2015,12,30
228,千載えにし,2,1,all,LETRA,滝太郎,2015,12,30
229,羨望のココロエデュケ～ション,1,1,all,Rainbow Vanilla,祭唄,2015,12,30
230,チャイナ東方～2015～,1,2,all,MONEけしごむ,もねてぃ,2015,12,30
231,帝国海軍　敗戦への道,2,13,all,新日暮里ガチムチ亭,いのじん,2015,12,30
232,東方時姦15,1,3,r18,背徳漢,-,2015,12,30
233,とびだせ大鳳ちゃん C89Edition,2,1,all,倫敦茶党,リムコロ,2015,12,30
234,なまいき！浜風,2,1,all,野図部屋,野図,2015,12,30
235,はなたれたこころ,1,1,all,風前ランプ,フウザサ,2015,12,30
236,帝國海軍 敗戦への道,2,11,all,新日暮里ガチムチ亭,いのじん,2015,12,30
237,KANCOLLE RACE QUEEN-R,2,4,r18,Pixel Works,ホロすけ,2015,12,30
238,Fallen World,2,2,all,おうち大好きインドア派,キト　こるた,2015,12,30
239,『７』,2,12,all,ぽんじゆうす？,シノ,2015,12,30
240,over Quantum Mechanics Rainbow 15,2,1,all,SEQMED,ユメのオワリ,2015,12,31
241,over Quantum Mechanics Rainbow 16,2,1,all,SEQMED,ユメのオワリ,2015,12,31
242,Tyokotto ARC,2,4,r18,ARC,多摩川雪丸,2015,12,31
243,ケッコン前遊戯,2,3,r18,猫じゃらされ,ゆあさ,2015,12,31
244,夏色すけっち,2,4,all,夏色少女,たかなしはると,2015,12,31
245,榛名は大丈夫です！！,2,1,r18,Crazy9,いちたか,2015,12,31
246,榛名は大丈夫です！！改二,2,1,r18,Crazy10,いちたか,2015,12,31
247,ビスコレ zwei,2,3,r18,Digital Flyer,大田優一,2015,12,31
248,憂色マジック,1,4,all,有機化合物,ユーキ,2016,1,24
249,猫を拾えば,1,10,all,ハニートースト,紅シャケ,2016,1,24
250,サグメさんは語りたい,1,1,all,うり畑牧場,まくわうに,2016,3,13
251,夢色マジック,1,4,all,有機化合物,ユーキ,2016,3,13
252,神戸かわさき造船これくしょん３　限定本,2,4,r18,膣からレバー,しせい,2016,4,3
253,WALNUT78 8TH,2,2,r18,翠苑,翠燕,2016,5,1
254,がんばれ！(泣)こがさちゃん!! さよなら、こがさちゃん　-前編-,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,2016,5,8
255,白鷺恋想夢,1,1,all,有機化合物,ユーキ,2016,5,8
256,虹色マジック,1,1,all,有機化合物,ユーキ,2016,5,8
257,パンデモニウムに響く歌,1,1,all,純情リーマー(ドリル乳繰り),竜一,2016,5,8
258,ふわふわパチュリー様,1,3,r18,いいわけ会社,樹宮匡平,2016,5,8
259,終始一艦,2,1,all,ホッパーオーバーフロー,nonco yumi,2016,5,8
260,Matsuriuta Workers*,1,2,all,Rainbow Vanilla,祭唄,2016,6,5
261,愛し想起へ花束を,1,1,all,蒼色彼方,色谷あすか,2016,6,5
262,おすしがたべたい　たべたくない？,1,1,all,たけのこ。,おみなえし,2016,6,5
263,ムガルビル3,1,1,all,薬味さらい,ゾウノセ,2016,8,13
264,東風谷早苗の牛丼道,1,1,all,ぜのさいど,是乃,2016,8,13
265,けんおう提督が鎮守府に着任しました 砲撃!,2,1,all,武士的魂,御月ユウヤ,2016,8,13
266,曙さんとクソ提督５,2,1,all,ぽんじゆうす？,シノ,2016,8,13
267,スクエアの化身とセンコフマの宴,1,1,all,運命のイカスミ,春雨,2016,10,9
268,GOOD NIGHT,1,1,r18,うぉーたーどろっぷ,MA-SA,2016,10,9
269,青娥抹殺,1,1,all,モルちん斬,理中モルチ,2016,10,9
270,LIFE TAP vol.1,2,2,all,さいくるりばーす,すてば,-,-,-
271,こちら秘封探偵事務所　illustratedbook vol.1.5,1,11,all,たんこぶ,EO,2015,12,30
